sfr	prq0	psuq0	sof_prq
איב	א	5	0
איב	א	22	1
איב	ב	10	0
איב	ב	13	1
איב	ג	1	0
איב	ג	26	1
איב	ד	21	1
איב	ה	27	1
איב	ו	30	1
איב	ז	21	1
איב	ח	22	1
איב	ט	35	1
איב	טו	35	1
איב	טז	22	1
איב	י	22	1
איב	יא	20	1
איב	יב	25	1
איב	יג	28	1
איב	יד	22	1
איב	יז	16	1
איב	יח	21	1
איב	יט	29	1
איב	כ	29	1
איב	כא	34	1
איב	כב	30	1
איב	כג	17	1
איב	כד	25	1
איב	כה	6	1
איב	כו	14	1
איב	כז	23	1
איב	כח	11	0
איב	כח	28	1
איב	כט	25	1
איב	ל	31	1
איב	לא	40	1
איב	לב	1	0
איב	לב	5	0
איב	לב	22	1
איב	לג	33	1
איב	לד	37	1
איב	לה	16	1
איב	לו	33	1
איב	לז	24	1
איב	לח	41	1
איב	לט	18	0
איב	לט	30	1
איב	מ	2	0
איב	מ	5	0
איב	מ	32	1
איב	מא	26	1
איב	מב	6	0
איב	מב	17	1
אכה	א	22	1
אכה	ב	22	1
אכה	ג	3	0
אכה	ג	6	0
אכה	ג	9	0
אכה	ג	12	0
אכה	ג	15	0
אכה	ג	18	0
אכה	ג	21	0
אכה	ג	24	0
אכה	ג	27	0
אכה	ג	30	0
אכה	ג	33	0
אכה	ג	36	0
אכה	ג	39	0
אכה	ג	42	0
אכה	ג	45	0
אכה	ג	48	0
אכה	ג	51	0
אכה	ג	54	0
אכה	ג	57	0
אכה	ג	60	0
אכה	ג	63	0
אכה	ג	66	1
אכה	ד	22	1
אכה	ה	18	0
אכה	ה	22	1
במד	א	19	0
במד	א	21	0
במד	א	23	0
במד	א	25	0
במד	א	27	0
במד	א	29	0
במד	א	31	0
במד	א	33	0
במד	א	35	0
במד	א	37	0
במד	א	39	0
במד	א	41	0
במד	א	43	0
במד	א	47	0
במד	א	54	1
במד	ב	9	0
במד	ב	16	0
במד	ב	17	0
במד	ב	24	0
במד	ב	31	0
במד	ב	34	1
במד	ג	4	0
במד	ג	10	0
במד	ג	13	0
במד	ג	26	0
במד	ג	39	0
במד	ג	43	0
במד	ג	51	1
במד	ד	16	0
במד	ד	20	0
במד	ד	28	0
סתר	ה	14	1
סתר	ו	14	1
סתר	ז	4	0
סתר	ז	10	1
סתר	ח	2	0
סתר	ח	6	0
סתר	ח	14	0
סתר	ח	17	1
סתר	ט	28	0
סתר	ט	32	1
סתר	י	3	1
עבד	א	21	1
עזר	א	6	0
עזר	א	9	0
עזר	א	10	0
עזר	א	11	1
עזר	ב	41	0
עזר	ב	42	0
עזר	ב	58	0
עזר	ב	60	0
עזר	ב	67	0
עזר	ב	70	1
עזר	ג	1	0
עזר	ג	7	0
עזר	ג	11	0
עזר	ג	13	1
עזר	ד	6	0
עזר	ד	7	0
עזר	ד	11	0
עזר	ד	16	0
עזר	ד	17	0
עזר	ד	22	0
עזר	ד	23	0
עזר	ד	24	1
עזר	ה	1	0
עזר	ה	2	0
עזר	ה	3	0
עזר	ה	5	0
עזר	ה	7	0
עזר	ה	8	0
עזר	ה	10	0
עזר	ה	12	0
עזר	ה	15	0
עזר	ה	17	1
עזר	ו	2	0
עזר	ו	5	0
עזר	ו	12	0
עזר	ו	15	0
עזר	ו	18	0
עזר	ו	22	1
עזר	ז	6	0
עזר	ז	10	0
עזר	ז	11	0
עזר	ז	26	0
עזר	ז	28	1
עזר	ח	14	0
עזר	ח	19	0
עזר	ח	30	0
עזר	ח	34	0
עזר	ח	35	0
עזר	ח	36	1
עזר	ט	2	0
עזר	ט	9	0
עזר	ט	14	0
עזר	ט	15	1
עזר	י	1	0
עזר	י	4	0
עזר	י	6	0
עזר	י	8	0
עזר	י	9	0
עזר	י	14	0
עזר	י	17	0
עזר	י	44	1
עמס	א	2	0
עמס	א	5	0
עמס	א	8	0
עמס	א	10	0
עמס	א	12	0
עמס	א	15	1
עמס	ב	3	0
עמס	ב	5	0
עמס	ב	16	1
עמס	ג	10	0
עמס	ג	15	1
עמס	ד	9	0
עמס	ד	13	1
עמס	ה	15	0
עמס	ה	17	0
עמס	ה	27	1
עמס	ו	10	0
עמס	ו	14	1
עמס	ז	6	0
עמס	ז	9	0
עמס	ז	11	0
עמס	ז	17	1
עמס	ח	3	0
עמס	ח	8	0
עמס	ח	10	0
עמס	ח	14	1
עמס	ט	12	0
עמס	ט	15	1
צפנ	א	11	0
צפנ	א	18	1
צפנ	ב	4	0
צפנ	ב	15	1
צפנ	ג	13	0
צפנ	ג	15	0
צפנ	ג	20	1
קהל	א	11	0
קהל	א	18	1
קהל	ב	26	1
קהל	ג	1	0
קהל	ג	8	0
קהל	ג	22	1
קהל	ד	17	1
קהל	ה	19	1
קהל	ו	12	1
קהל	ז	29	1
קהל	ח	17	1
קהל	ט	10	0
קהל	ט	18	1
קהל	י	20	1
קהל	יא	10	1
קהל	יב	14	1
רות	א	22	1
רות	ב	23	1
רות	ג	18	1
רות	ד	17	0
רות	ד	22	1
שופ	א	7	0
שופ	א	15	0
שופ	א	21	0
שופ	א	26	0
שופ	א	28	0
שופ	א	29	0
שופ	א	30	0
שופ	א	32	0
שופ	א	36	1
שופ	ב	5	0
שופ	ב	10	0
שופ	ב	23	1
שופ	ג	6	0
שופ	ג	11	0
שופ	ג	30	0
שופ	ג	31	1
שופ	ד	3	0
שופ	ד	24	1
שופ	ה	31	1
שופ	ו	6	0
שופ	ו	10	0
שופ	ו	19	0
שופ	ו	24	0
שופ	ו	32	0
שופ	ו	40	1
שופ	ז	1	0
שופ	ז	3	0
שופ	ז	6	0
שופ	ז	8	0
שופ	ז	14	0
שופ	ז	18	0
שופ	ז	25	1
שופ	ח	9	0
שופ	ח	21	0
שופ	ח	28	0
שופ	ח	32	0
שופ	ח	35	1
שופ	ט	5	0
שופ	ט	21	0
שופ	ט	25	0
שופ	ט	41	0
שופ	ט	45	0
שופ	ט	49	0
שופ	ט	57	1
שופ	טו	8	0
שופ	טו	20	1
שופ	טז	3	0
שופ	טז	22	0
שופ	טז	31	1
שופ	י	2	0
שופ	י	5	0
שופ	י	10	0
שופ	י	16	0
שופ	י	18	1
שופ	יא	3	0
שופ	יא	11	0
שופ	יא	28	0
שופ	יא	31	0
שופ	יא	33	0
שופ	יא	40	1
שופ	יב	7	0
שופ	יב	10	0
שופ	יב	12	0
שופ	יב	15	1
שופ	יג	1	0
שופ	יג	7	0
שופ	יג	14	0
שופ	יג	18	0
שופ	יג	25	1
שופ	יד	20	1
שופ	יז	6	0
שופ	יז	13	1
שופ	יח	1	0
שופ	יח	6	0
שופ	יח	31	1
שופ	יט	30	1
שופ	כ	2	0
שופ	כ	11	0
שופ	כ	16	0
שופ	כ	23	0
שופ	כ	29	0
שופ	כ	34	0
שופ	כ	48	1
שופ	כא	4	0
שופ	כא	12	0
שופ	כא	18	0
שופ	כא	22	0
שופ	כא	24	0
שופ	כא	25	1
שיר	א	4	0
שיר	א	8	0
שיר	א	14	0
שיר	א	17	1
שיר	ב	7	0
שיר	ב	13	0
שיר	ב	14	0
שיר	ב	17	1
שיר	ג	5	0
שיר	ג	8	0
שיר	ג	11	1
שיר	ד	7	0
שיר	ד	11	0
שיר	ד	16	1
שיר	ה	1	0
שיר	ה	16	1
שיר	ו	3	0
שיר	ו	9	0
שיר	ו	10	0
שיר	ו	12	1
שיר	ז	11	0
שיר	ז	14	1
שיר	ח	4	0
שיר	ח	7	0
שיר	ח	10	0
שיר	ח	14	1
שמא	א	28	1
שמא	ב	10	0
שמא	ב	21	0
שמא	ב	26	0
שמא	ב	36	1
שמא	ג	1	0
שמא	ג	3	0
שמא	ג	5	0
שמא	ג	10	0
שמא	ג	18	0
שמא	ג	20	0
שמא	ג	21	1
שמא	ד	17	0
שמא	ד	22	1
שמא	ה	5	0
שמא	ה	8	0
שמא	ה	12	1
שמא	ו	2	0
שמא	ו	14	0
שמא	ו	21	1
שמא	ז	1	0
שמא	ז	2	0
שמא	ז	4	0
שמא	ז	17	1
שמא	ח	3	0
שמא	ח	6	0
שמא	ח	9	0
שמא	ח	10	0
שמא	ח	21	0
שמא	ח	22	1
שמא	ט	14	0
שמא	ט	20	0
שמא	ט	21	0
שמא	ט	27	1
שמא	טו	1	0
שמא	טו	3	0
שמא	טו	9	0
שמא	טו	15	0
שמא	טו	16	0
שמא	טו	19	0
שמא	טו	21	0
שמא	טו	23	0
שמא	טו	26	0
שמא	טו	27	0
שמא	טו	28	0
שמא	טו	31	0
שמא	טו	32	0
שמא	טו	33	0
שמא	טו	35	1
שמא	טז	6	0
שמא	טז	16	0
שמא	טז	23	1
שמא	י	9	0
שמא	י	16	0
שמא	י	24	0
שמא	י	27	1
שמא	יא	10	0
שמא	יא	15	1
שמא	יב	5	0
שמא	יב	17	0
שמא	יב	25	1
שמא	יג	12	0
שמא	יג	14	0
שמא	יג	18	0
שמא	יג	23	1
שמא	יד	5	0
שמא	יד	7	0
שמא	יד	16	0
שמא	יד	24	0
שמא	יד	35	0
שמא	יד	40	0
שמא	יד	43	0
שמא	יד	48	0
שמא	יד	51	0
שמא	יד	52	1
שמא	יז	11	0
שמא	יז	14	0
שמא	יז	16	0
שמא	יז	19	0
שמא	יז	33	0
שמא	יז	36	0
שמא	יז	44	0
שמא	יז	47	0
שמא	יז	54	0
שמא	יז	56	0
שמא	יז	58	1
שמא	יח	5	0
במד	ד	37	0
במד	ד	49	1
במד	ה	4	0
במד	ה	10	0
במד	ה	31	1
במד	ו	21	0
במד	ו	23	0
במד	ו	24	0
במד	ו	25	0
במד	ו	26	0
במד	ו	27	1
במד	ז	11	0
במד	ז	17	0
במד	ז	23	0
במד	ז	29	0
במד	ז	35	0
במד	ז	41	0
במד	ז	47	0
במד	ז	53	0
במד	ז	59	0
במד	ז	65	0
במד	ז	71	0
במד	ז	77	0
במד	ז	83	0
במד	ז	89	1
במד	ח	4	0
במד	ח	22	0
במד	ח	26	1
במד	ט	8	0
במד	ט	14	0
במד	ט	23	1
במד	טו	16	0
במד	טו	21	0
במד	טו	26	0
במד	טו	31	0
במד	טו	34	0
