bn	av	sug	tarik_hosfa
שדד	שד2	שנ	
שוד	שד2	שנ	
שחה	שח	שנ	
שחח	שח	שנ	
שחצ	שח_	שנ	
שחל1	שח_	שנ	
שÒטנ	שÒט_	שנ	
שÒטמ	שÒט_	שנ	
שסס	שס1	שנ	
צעק	צ__	שנ	
שגג	שג	שנ	
ספה2	ספ2	שנ	
נתנ	נת_	שנ	
נתר	נת_	שנ	
נתק	נת_	שנ	
נתש	נת_	שנ	
סחה	סח	שנ	
סוכ	סכ	שנ	
נסכ	סכ	שנ	
סככ=שÒככ	סכ	שנ	
סכסכ	סכ	שנ	
עלט	עט2	שנ	
יספ	ספ2	שנ	
נהק	נק	שנ	
ספח=שÒפח	ספ2	שנ	
סור	סר	שנ	
סרר	סר	שנ	
עשר	ע_ר	שנ	
עתר	ע_ר	שנ	
עשתר1	ע_ר	שנ	
עוב	עב	שנ	
עבת	עב	שנ	
עבה	עב	שנ	
צרח	צ_ח	שנ	
יסכ	סכ	שנ	
נחת	נח	שנ	
מרט	מר_2	שנ	
מרה2	מר_2	שנ	
מרג	מר_2	שנ	
משה	מש	שנ	
משכ	מש	שנ	
משש	מש	שנ	
אני	נ	שנ	
נחנ	נ	שנ	
נדד	נד2	שנ	
נדה1	נד2	שנ	
נתח	נת_	שנ	
נוע	נו_	שנ	
נתכ	נת_	שנ	
נחה	נח	שנ	
נחל1	נח	שנ	
נוח	נח	שנ	
ינח_או_ננח	נח	שנ	
נוט	נט	שנ	
נטה	נט	שנ	
נכה=נכא	נכ_	שנ	
אנק	נק	שנ	
נאק	נק	שנ	
עטר	עט2	שנ	
נוד2	נו_	שנ	
פצה	פצ_	שנ	
פדע	פד_	שנ	
פוז	פז	שנ	
אפז	פז	שנ	
פלא	פל_	שנ	
פלה=פלא	פל_	שנ	
אפס	פס2	שנ	
פסס	פס2	שנ	
פרצ	פצ	שנ	
נפצ	פצ	שנ	
עות2	עו_	שנ	
פצע	פצ_	שנ	
פגל	פג_2	שנ	
פצר	פצ_	שנ	
פצח	פצ_	שנ	
פצל	פצ_	שנ	
פצמ	פצ_	שנ	
פשח	פש_	שנ	
פשÒע	פש_	שנ	
פשÒק	פש_	שנ	
פשÒה=פסה	פש_	שנ	
פתאמ	פת_	שנ	
פתע	פת_	שנ	
פוצ	פצ	שנ	
צוק	עק	שנ	
עטה	עט2	שנ	
יעט	עט2	שנ	
עלל1	על1	שנ	
עול1	על1	שנ	
יעפ1	עפ	שנ	
עטפ	עפ	שנ	
עלפ	עפ	שנ	
עיפ	עפ	שנ	
עצמ2	עצ_	שנ	
עצה1	עצ_	שנ	
פדה	פד_	שנ	
עקה	עק	שנ	
פגר	פג_2	שנ	
עקב	עק_	שנ	
עקש	עק_	שנ	
עקל	עק_	שנ	
ערר	ער	שנ	
ערער	ער	שנ	
פאת	פא_	שנ	
פאה	פא_	שנ	
פגש	פג_1	שנ	
פגע	פג_1	שנ	
מרח	מר_2	שנ	
עוק	עק	שנ	
רעצ	רצ	שנ	
רצצ	רצ	שנ	
הרר	הר	שנ	
יהר	הר	שנ	
יזנ	זנ	שנ	
כלה	כל	שנ	
חיה	חי	שנ	
רקק1	רק1	שנ	
רקק2	רק	שנ	
אכזר	זור1	שנ	
ספה1	ספ	שנ	
כלל	כל	שנ	
רצד	רד	שנ	
אל2	ל	שנ	
קדד	קד	שנ	
מפתנ	פתנ	שנ	
אצבע	צבע	שנ	
סרעפ	סעפ	שנ	
כונ1	כנ1	שנ	
תכנ	כנ1	שנ	
תלה	תל	שנ	
בלעד	בל1	שנ	
בלת	בל1	שנ	
תלל	תל	שנ	
רעד	רד	שנ	
זמנ	זנ	שנ	
אגרטל	אגר	שנ	
צלמות	צלל1	שנ	
צנתר	צנר	שנ	
חרד	רד	שנ	
סופ1	ספ	שנ	
אכל	כל	שנ	
כול	כל	שנ	
אכנ	כנ1	שנ	
גנזכ	גנז	שנ	
לאט	אט	שנ	
אשפר	אש	שנ	
עוד4	עד1	שנ	
עדה2	עד2	שנ	
אנא	נא	שנ	
אכזר	אכ	שנ	
איל	אל	שנ	
אלה=אלי	אל	שנ	
אלו	לו	שנ	
אדמ	דמ	שנ	
אשפר	פר	שנ	
אגרטל	טל	שנ	
קרסל	קרס	שנ	
אשכל	אשכ	שנ	
שרבט	שבט	שנ	
אגרפ	גרפ	שנ	
פוח	פח	שנ	
נבח=נפח	פח	שנ	
צלמות	מות	שנ	
שÒרעפ	שÒעפ	שנ	
תדהר	דהר	שנ	
הלכ	לכ	שנ	
דוג=דיג	דג	שנ	
עלה	על2	שנ	
עזר	עז	שנ	
לאמ	אמ3	שנ	
עזז	עז	שנ	
עזב2	עז	שנ	
גוי	גו	שנ	
ילכ	לכ	שנ	
עצד	עצ	שנ	
הא	ה	שנ	
גבהÌ	גב1	שנ	
גבח	גב1	שנ	
שממ	שמ	שנ	
צפרנ	צפר3	שנ	
גבע1	גב1	שנ	
גבר	גב1	שנ	
נקב2	קב	שנ	
יעד	עד	שנ	
קבב	קב	שנ	
רקד	רד	שנ	
ערצ2	עצ	שנ	
