הפטרת הברכה אשכנז	{{דף פרשה|יהושע|א|א|א|יח}}
הפטרת שלח אשכנז	{{דף פרשה|יהושע|ב|א|ב|כד}}
הפטרת פסח א אשכנז	{{דף פרשה|יהושע|ה|ב|ו|א}}
הפטרת בשלח אשכנז	{{דף פרשה|שופטים|ד|ד|ה|לא}}
הפטרת חקת אשכנז	{{דף פרשה|שופטים|יא|א|יא|לג}}
הפטרת נשא אשכנז	{{דף פרשה|שופטים|יג|ב|יג|כה}}
הפטרת ראש השנה א אשכנז	{{דף פרשה|שמואל א|א|א|ב|י}}
הפטרת שמיני אשכנז	{{דף פרשה|שמואל ב|ו|א|ז|יז}}
הפטרת קרח אשכנז	{{דף פרשה|שמואל א|יא|יד|יב|כב}}
הפטרת שבת זכור אשכנז	{{דף פרשה|שמואל א|טו|ב|טו|לב}}
הפטרת ערב ראש חודש אשכנז	{{דף פרשה|שמואל א|כ|יח|כ|מב}}
הפטרת האזינו אשכנז	{{דף פרשה|שמואל ב|כב|א|כב|נא}}
הפטרת פסח ז אשכנז	{{דף פרשה|שמואל ב|כב|א|כב|נא}}
הפטרת חיי שרה אשכנז	{{דף פרשה|מלכים א|א|א|א|לא}}
הפטרת ויחי אשכנז	{{דף פרשה|מלכים א|ב|א|ב|יב}}
הפטרת מקץ אשכנז	{{דף פרשה|מלכים א|ג|טו|ד|א}}
הפטרת וירא אשכנז	{{דף פרשה|מלכים ב|ד|א|ד|לז}}
הפטרת תזריע אשכנז	{{דף פרשה|מלכים ב|ד|מב|ה|יט}}
הפטרת תרומה אשכנז	{{דף פרשה|מלכים א|ה|כו|ו|יג}}
הפטרת מצורע אשכנז	{{דף פרשה|מלכים ב|ז|ג|ז|כ}}
הפטרת ויקהל אשכנז	{{דף פרשה|מלכים א|ז|מ|ז|נ}}
הפטרת שבת חנוכה ב אשכנז	{{דף פרשה|מלכים א|ז|מ|ז|נ}}
הפטרת פקודי אשכנז	{{דף פרשה|מלכים א|ז|נא|ח|כא}}
הפטרת סוכות ב אשכנז	{{דף פרשה|מלכים א|ח|ב|ח|כא}}
הפטרת שמיני עצרת אשכנז	{{דף פרשה|מלכים א|ח|נד|ט|א}}
הפטרת שבת שקלים אשכנז	{{דף פרשה|מלכים ב|יב|א|יב|יז}}
הפטרת כי תשא אשכנז	{{דף פרשה|מלכים א|יח|א|יח|לט}}
הפטרת פינחס אשכנז	{{דף פרשה|מלכים א|יח|מו|יט|כא}}
הפטרת פסח ב אשכנז	{{דף פרשה|מלכים ב|כג|א|כג|כה}}
הפטרת דברים אשכנז	{{דף פרשה|ישעיהו|א|א|א|כז}}
הפטרת יתרו אשכנז	{{דף פרשה|ישעיהו|ו|א|ט|ו}}
הפטרת פסח ח אשכנז	{{דף פרשה|ישעיהו|י|לב|יב|ו}}
הפטרת יום העצמאות אשכנז	{{דף פרשה|ישעיהו|י|לב|יב|ו}}
הפטרת שמות אשכנז	{{דף פרשה|ישעיהו|כז|ו|כט|כג}}
הפטרת ואתחנן אשכנז	{{דף פרשה|ישעיהו|מ|א|מ|כו}}
הפטרת לך לך אשכנז	{{דף פרשה|ישעיהו|מ|כז|מא|טז}}
הפטרת בראשית אשכנז	{{דף פרשה|ישעיהו|מב|ה|מג|י}}
הפטרת ויקרא אשכנז	{{דף פרשה|ישעיהו|מג|כא|מד|כג}}
הפטרת עקב אשכנז	{{דף פרשה|ישעיהו|מט|יד|נא|ג}}
הפטרת שופטים אשכנז	{{דף פרשה|ישעיהו|נא|יב|נב|יב}}
הפטרת נח אשכנז	{{דף פרשה|ישעיהו|נד|א|נה|ה}}
הפטרת כי תצא אשכנז	{{דף פרשה|ישעיהו|נד|א|נד|י}}
הפטרת ראה אשכנז	{{דף פרשה|ישעיהו|נד|יא|נה|ה}}
הפטרת תענית ציבור אשכנז	{{דף פרשה|ישעיהו|נה|ו|נו|ח}}
הפטרת תשעה באב מנחה אשכנז	{{דף פרשה|ישעיהו|נה|ו|נו|ח}}
הפטרת יום כיפור שחרית אשכנז	{{דף פרשה|ישעיהו|נז|יד|נח|יד}}
הפטרת כי תבוא אשכנז	{{דף פרשה|ישעיהו|ס|א|ס|כב}}
הפטרת ניצבים אשכנז	{{דף פרשה|ישעיהו|סא|י|סג|ט}}
הפטרת ראש חודש אשכנז	{{דף פרשה|ישעיהו|סו|א|סו|כד}}
הפטרת מטות אשכנז	{{דף פרשה|ירמיהו|א|א|ב|ג}}
הפטרת מסעי אשכנז	{{דף פרשה|ירמיהו|ב|ד|ג|ד}}
הפטרת צו אשכנז	{{דף פרשה|ירמיהו|ז|כא|ט|כג}}
הפטרת תשעה באב שחרית אשכנז	{{דף פרשה|ירמיהו|ח|יג|ט|כג}}
הפטרת בחוקותי אשכנז	{{דף פרשה|ירמיהו|טז|יט|יז|יד}}
הפטרת ראש השנה ב אשכנז	{{דף פרשה|ירמיהו|לא|ב|לא|כ}}
הפטרת בהר אשכנז	{{דף פרשה|ירמיהו|לב|ו|לב|כז}}
הפטרת משפטים אשכנז	{{דף פרשה|ירמיהו|לד|ח|לד|כב}}
הפטרת בא אשכנז	{{דף פרשה|ירמיהו|מו|יג|מו|כח}}
הפטרת שבועות א אשכנז	{{דף פרשה|יחזקאל|א|א|ג|יב}}
הפטרת אחרי מות אשכנז	{{דף פרשה|יחזקאל|כב|א|כב|טז}}
הפטרת וארא אשכנז	{{דף פרשה|יחזקאל|כח|כה|כט|כא}}
