tt_kotrt	jm	sug	sugmqor	sfr	prq	psuq	citut	m	tarik_hosfa	ktovt
אבל מחולה	אבל מחולה	עיר				0			2006.11.20 12:02:58	abl_mxwlh
אבן העזר	אבן העזר	עיר	פסוק	שמואל א	ד	1	..ויצא ישראל לקראת פלשתים למלחמה ויחנו על האבן העזר ופלשתים חנו באפק	אביתר כהן	2004.10.4 19:28:25	abn_hezr
אובל אולי	אובל אולי	נהר				0			2006.11.20 12:03:00	awbl_awly
אור כשדים	אור כשדים	ארץ				0			2006.11.20 12:03:00	awr_kjdym
אלון בצעננים	אלון בצעננים	עיר	פסוק	יהושע	יט	33	ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד-לקום ..	אביתר כהן	2004.11.8 18:12:45	alwn_bcennym
ארגב	ארגב	מישור	פסוק	דברים	ג	4	ונלכד את כל עריו בעת ההוא לא היתה קריה אשר לא לקחנו מאתם ששים עיר כל חבל ארגב ממלכת עוג בבשן	אראל	2004.9.27 14:37:44	argb
ארץ - כללי		ארץ				0			2006.11.20 12:03:00	arc-klly
ארץ אדום	אדום	ארץ				0			2006.11.20 12:03:00	arc_adwm
ארץ אלסר	אלסר	ארץ				0			2006.11.20 12:03:00	alsr
ארץ אפרים	אפרים	ארץ				0			2006.11.20 12:03:00	arc_aprym
ארץ ארם	ארם	ארץ				0			2006.11.20 12:03:00	arc_arm
ארץ אשור	אשור	ארץ	פסוק	בראשית	י	11	מן הארץ ההוא יצא אשור ויבן את נינוה ואת רחבת עיר ואת כלח	אראל	2006.11.20 12:03:00	arc_ajwr
ארץ אשר	אשר	ארץ				0			2006.11.20 12:03:00	arc_ajr
ארץ בבל	בבל	ארץ				0			2006.11.20 12:03:00	arc_bbl
ארץ בני עמון	עמון	ארץ				0			2006.11.20 12:03:00	arc_bny_emwn
ארץ בנימין	נימין	ארץ				0			2006.11.20 12:03:00	arc_bnymyn
ארץ גד	גד	ארץ				0			2006.11.20 12:03:00	arc_gd
ארץ גושן	גושן	ארץ				0			2006.11.20 12:03:00	arc_gwjn
ארץ גלעד	גלעד	ארץ				0			2006.11.20 12:03:00	arc_gled
ארץ גרר	גרר	ארץ				0			2006.11.20 12:03:00	grr
ארץ גשור	גשור	ארץ				0			2006.11.20 12:03:00	arc_gjwr
ארץ גשן	גשן	ארץ				0			2006.12.28 13:29:03	arc_gjn
ארץ דן	דן	ארץ				0			2006.11.20 12:03:00	arc_dn
ארץ הבשן	הבשן	ארץ				0			2006.11.20 12:03:00	arc_hbjn
ארץ החתים	חת	ארץ				0			2006.11.20 12:03:00	arc_hxtym
ארץ זבולון	בולון	ארץ				0			2006.11.20 12:03:00	arc_zbwlwn
ארץ חילך	חילך	ארץ				0			2006.11.20 12:03:00	xylk
ארץ חפר	חפר	ארץ				0			2006.11.20 12:03:00	arc_xpr
ארץ יהודה	יהודה	ארץ				0			2006.11.20 12:03:00	arc_yhwdh
ארץ יוסף	יוסף	ארץ				0			2006.11.20 12:03:00	arc_ywsp
ארץ ישראל	ישראל	ארץ				0			2006.11.20 12:03:00	arc_yjral
ארץ ישראל הצפונית	פונית	ארץ				0			2006.11.20 12:03:00	arc_yjral_hcpwnyt
ארץ יששכר	יששכר	ארץ				0			2006.11.20 12:03:00	arc_yjjkr
ארץ כוש	כוש	ארץ				0			2006.11.20 12:03:00	arc_kwj
ארץ כרתים	כרתים	ארץ				0			2006.11.20 12:03:00	arc_krtym
ארץ לבנון	לבנון	ארץ				0			2006.11.20 12:03:00	arc_lbnwn
ארץ מואב	מואב	ארץ				0			2006.11.20 12:03:00	arc_mwab
ארץ מוריה	מוריה	ארץ				0			2006.11.20 12:03:00	arc_mwryh
ארץ מנשה	מנשה	ארץ				0			2006.11.20 12:03:00	arc_mnjh
ארץ מצרים	מצרים	ארץ				0			2006.11.20 12:03:00	arc_mcrym
ארץ נגב	נגב	ארץ				0			2006.11.20 12:03:00	arc_ngb
ארץ נפתלי	נפתלי	ארץ				0			2006.11.20 12:03:00	arc_nptly
ארץ עדן	עדן	ארץ				0			2006.11.20 12:03:00	edn
ארץ עוץ	עוץ	ארץ				0			2006.11.20 12:03:00	arc_ewc
ארץ ערב	ערב	ארץ				0			2006.11.20 12:03:00	arc_erb
ארץ פלשת	פלשת	ארץ				0			2006.11.20 12:03:00	arc_pljt
ארץ פרס	פרס	ארץ				0			2006.11.20 12:03:00	arc_prs
ארץ צוף	צוף	ארץ				0			2006.11.20 12:03:00	arc_cwp
ארץ צפון	צפון	ארץ				0			2006.11.20 12:03:00	arc_cpwn
ארץ קדם	קדם	ארץ				0			2006.11.20 12:03:00	arc_qdm
ארץ ראובן	ראובן	ארץ				0			2006.11.20 12:03:00	arc_rawbn
ארץ שבא	שבא	ארץ				0			2006.11.20 12:03:00	arc_jba
ארץ שועל	שועל	ארץ				0			2006.11.20 12:03:00	arc_jwel
