אביאל	abyal
אביה	abyh
אביהיל	abyhyl
אביחיל	abyxyl
אבימלך	abymlk
אבינדב	abyndb
אבירם	abyrm
אהליבמה	ahlybmh
אונם	awnm
אוריה	awryh
אחאב	axab
אחזיה	axzyh
אחיה	axyh
אחיטוב	axyfwb
אחילוד	axylwd
אחימלך	axymlk
אחימעץ	axymec
אחינעם	axynem
איה	ayh
איתן	aytn
אלה	alh
אלחנן	alxnn
אליאב	alyab
אלידע	alyde
אליהוא	alyhwa
אליסף	alysp
אליעזר	alyezr
אליעם	alyem
אליפז	alypz
אליפלט	alyplf
אליקים	alyqym
אלישמע	alyjme
אלנתן	alntn
אלעזר	alezr
אלקנה	alqnh
אמציה	amcyh
אמריה	amryh
אסיר	asyr
אסף	asp
ארד	ard
אריוך	arywk
אתי	aty
בארי	bary
בכר	bkr
בלע	ble
בן הדד	bn_hdd
בניה	bnyh
בעור	bewr
בענא	bena
בענה	benh
בקי	bqy
ברכיה	brkyh
בשמת	bjmt
בת פרעה	bt_preh
גד	gd
גדי	gdy
גדליה	gdlyh
גמר	gmr
גמריה	gmryh
גרא	gra
דדן	ddn
דודו	dwdw
הדד	hdd
הושע	hwje
הימן	hymn
זכריה	zkryh
זמרי	zmry
זרח	zrx
חבר	xbr
חגי	xgy
חוילה	xwylh
חור	xwr
חזקיה	xzqyh
חירם	xyrm
חלקיה	xlqyh
חנוך	xnwk
חנן	xnn
חנניה	xnnyh
חצרן	xcrn
טוביה	fwbyh
יאזניה	yaznyh
יאיר	yayr
יאשיה	yajyh
יבין	ybyn
יגאל	ygal
יהוא	yhwa
יהואחז	yhwaxz
יהוידע	yhwyde
יהונדב	yhwndb
יהונתן	yhwntn
יהורם	yhwrm
יהושע	yhwje
יהושפט	yhwjpf
יואל	ywal
יואש	ywaj
יובב	ywbb
יוחנן	ywxnn
יונתן	ywntn
יוסף	ywsp
יותם	ywtm
יעוש	yewj
יפיע	ypye
ירבעם	yrbem
ירחמאל	yrxmal
ירמיה	yrmyh
ישוי	yjwy
ישמעאל	yjmeal
כוש	kwj
כושי	kwjy
כרמי	krmy
למך	lmk
מחלי	mxly
מיכאל	mykal
מיכיה	mykyh
מישאל	myjal
מכיר	mkyr
מלכה	mlkh
מלכיה	mlkyh
מנשה	mnjh
מעכה	mekh
מעשיה	mejyh
מתן	mtn
נדב	ndb
נחור	nxwr
נחש	nxj
נעמה	nemh
נעמן	nemn
נפג	npg
נתן	ntn
נתנאל	ntnal
נתניה	ntnyh
עבדיה	ebdyh
עדה	edh
עדיה	edyh
עובד	ewbd
עוץ	ewc
עזריה	ezryh
עירא	eyra
עכבור	ekbwr
עמיאל	emyal
עמיהוד	emyhwd
ענה	enh
פינחס	pynxs
פלטי	plfy
פרעה	preh
פשחור	pjxwr
צדוק	cdwq
צדקיה	cdqyh
צחר	cxr
צפניה	cpnyh
קיש	qyj
קמואל	qmwal
קנז	qnz
קרח	qrx
רכב	rkb
רם	rm
רעואל	rewal
שאול	jawl
שבא	jba
שגוב	jgwb
שכם	jkm
שלום	jlwm
שלם	jlm
שלמה	jlmh
שלמיה	jlmyh
שלמית	jlmyt
שמה	jmh
שמואל	jmwal
שמוע	jmwe
שמעי	jmey
שמעיה	jmeyh
שמר	jmr
שפט	jpf
שפטיה	jpfyh
שראצר	jracr
שריה	jryh
תולע	twle
תימן	tymn
תלמי	tlmy
תמנע	tmne
תמר	tmr
תרשיש	trjyj
