av	av2	bn	sug	kotrt	sdr_bn	sdr_av
1	0	ומלאו את הארץ	הגדרה		60	0
1	0	חיפוש אישה?	הגדרה		60	0
1	0	פריה ורביה - חובת הציבור	הגדרה		60	0
5	0	פסח וכרת?	טעם	למה העונש למי שאינו עושה את הפסח הוא כרת?	60	0
6	0	פסח וכרת?	טעם	למה העונש למי שאינו עושה את הפסח הוא כרת?	60	0
9	0	פסח, סוכות, עניים	טעם	הזדהות עם העניים	60	0
9	0	קו התאריך?	הגדרה	מתי יש לבער חמץ כשנוסעים לאיזור-זמן אחר?	99	0
10	0	פסח, סוכות, עניים	טעם	הזדהות עם העניים	60	0
12	0	פסח וכרת?	טעם	למה העונש למי שאוכל חמץ בפסח הוא כרת?	60	0
19	0	פסח וכרת?	טעם	למה העונש למי שאוכל חמץ בפסח הוא כרת?	60	0
19	0	פסח, סוכות, עניים	טעם	הזדהות עם העניים	60	0
20	0	פסח, סוכות, עניים	טעם	הזדהות עם העניים	60	0
27	0	פסלים בשביל המזל?	הגדרה	האם מותר לעשות פסלים "בשביל המזל"?	60	0
27	0	תרופה לעומת קמיע	הגדרה	מה ההבדל בין תרופה לקמיע?	60	0
32	0	בישול בלח	הגדרה		81	0
32	0	סימן שיז	הגדרה		82	0
32	0	סימן שיח	הגדרה		83	0
32	0	פיקוח נפש דוחה שבת	הגדרה		60	0
33	0	כיבוד הורים משפט עברי	הגדרה		60	0
35	0	כובעון	הגדרה	אסור לנאוף גם עם קונדום	60	0
39	0	פסלים בשביל המזל?	הגדרה	האם מותר לעשות פסלים "בשביל המזל"?	60	0
47	0	טעמי העונשים	טעם		60	0
50	0	טעמי העונשים	טעם		60	0
51	0	שור תם	טעם		60	0
57	0	טעם דיני שומרים?	טעם		60	0
59	0	הלוואה ושכירת חפצים	הגדרה		60	0
59	0	הלוואה ושכר-שכיר	הגדרה		60	0
59	0	טעם דיני שומרים?	טעם		60	0
60	0	הלוואה והשאלת חפצים	הגדרה		60	0
60	0	טעם דיני שומרים?	טעם		60	0
61	1	נגד הפקרות מינית	טעם		60	0
61	2	נגד הפקרות מינית	טעם		60	0
62	0	הגדרת איסור כשפים	הגדרה		60	0
63	0	הונאת גר משפט עברי	הגדרה		60	0
64	0	הונאת גר משפט עברי	הגדרה		60	0
65	1	עינוי אלמנה והידור מצוה	הגדרה	לא לענות = לא להאיץ בו/ה בעבודה	60	0
66	0	הלואה - למי?	הגדרה	מטרת ההלוואה - לחדש את היכולת להתפרנס, או למלא מחסור קשה	60	0
66	0	הלואה בלי ערבים רבנים	הגדרה	האם חייבים להלוות לעני שאין לו ערֵבים?	60	0
68	0	הלואה בריבית = שיעבוד	טעם		60	0
68	0	משום ריבית	הגדרה		60	0
68	0	ריבית 0	טעם		60	0
74	1	צדק בשמיעת בעלי הדין	הגדרה		60	0
79	0	דין עני משפט עברי	הגדרה		60	0
83	0	שוחד כפול	הגדרה		60	0
99	0	בגדי הכה"ג	הגדרה		60	0
116	0	המנחה כעולה	טעם		60	0
122	0	עדות אמת משפט עברי	הגדרה		60	0
130	0	השבת גזל 1	טעם		60	0
130	0	השבת גזל 2	הגדרה		60	0
181	0	משמעות דיני נידה	טעם		60	0
181	0	שבעה נקיים	הגדרה		60	0
182	0	משמעות דיני נידה	טעם		60	0
182	0	שבעה נקיים	הגדרה		60	0
207	0	משמעות דיני נידה	טעם		60	0
207	0	עונש על ביאה אסורה	הגדרה	עונש "כרת" על ביאת נידה - מאיזה רגע?	60	0
207	0	שבעה נקיים	הגדרה		60	0
209	0	להבין את ויקרא	מאמר		60	0
214	0	פסלים בשביל המזל?	הגדרה	האם מותר לעשות פסלים "בשביל המזל"?	60	0
214	0	תרופה לעומת קמיע	הגדרה	מה ההבדל בין תרופה לבין קמיע?	60	0
216	0	מתנות חלשים עצכ"ח	הגדרה		60	0
217	0	מתנות חלשים עצכ"ח	הגדרה		60	0
218	0	מתנות חלשים עצכ"ח	הגדרה		60	0
219	0	מתנות חלשים עצכ"ח	הגדרה		60	0
220	0	מתנות חלשים עצכ"ח	הגדרה		60	0
221	0	מתנות חלשים עצכ"ח	הגדרה		60	0
222	0	מתנות חלשים עצכ"ח	הגדרה		60	0
223	0	מתנות חלשים עצכ"ח	הגדרה		60	0
229	0	גזל אויר	הגדרה		60	0
229	0	גזל מסוגים שונים	הגדרה		60	0
229	0	הקלה להימנעות מפגיעה	הגדרה	גזל בנטילת ידיים ובתפילה: גזל שינה, גזל יתומים, גזל פרנסה, גזל בעשיית מלאכה, גזל אויר, גזל זמן	60	0
235	0	הצד ה-2	הגדרה		60	0
235	0	משפט לא אמיתי	תגובה		60	0
236	0	שמירת הלשון - איזנברג	טעם		60	0
237	0	השקעה להצלת חיים	הגדרה		60	0
237	0	סיכון למען הזולת	הגדרה	הגדרה: עד כמה צריך להסתכן כדי להציל אחרים?	60	0
239	0	תוכחה לעומת הלעיטהו	הגדרה		60	0
241	0	נקימה והשכרה	הגדרה		60	0
241	0	קמצן כפוי טובה	הגדרה	אסור לנקום גם במי שאינו מיטיב עמנו באופן קבוע	60	0
243	0	השתקפות	הגדרה		60	0
243	0	עושה מעשה עמך	הגדרה	רעך כמוך = מקיים מצוות לפחות כמו רוב עם ישראל	60	0
243	0	שכר שווה	הגדרה		60	0
244	0	האדם מול הבריאה	טעם	האדם אינו אדון העולם אלא שליח של בורא העולם, ולכן התורה מגבילה את זכותו של האדם לשנות את הבריאה	60	0
245	0	האדם מול הבריאה	טעם	האדם אינו אדון העולם אלא שליח של בורא העולם, ולכן התורה מגבילה את זכותו של האדם לשנות את הבריאה	60	0
245	0	הלכות כלאי זרעים	הגדרה		60	0
245	0	כלאי זרעים בעציץ	הגדרה		60	0
257	0	גזל אויר	הגדרה	ספק כבוד חכמים לא דוחה ודאי גזל	60	0
261	0	טעמי העונשים	טעם		60	0
266	0	גיורת וכהן?	טעם		60	0
266	0	מעמד הגיורת	טעם		111	0
275	0	בעלי מום	טעם		60	0
276	0	בעלי מום	טעם		60	0
277	0	בעלי מום	טעם		60	0
291	1	סירוס והריגת חיות	הגדרה		60	0
306	0	ספירת העומר?	הגדרה	מתי ואיך צריך לספור?	60	0
306	0	קו התאריך?	הגדרה	איך צריך לספור כשעוברים את קו התאריך?	60	0
324	0	כשרות ופסלות הלולב	הגדרה	הלכות כשרות ופסלות הלולב	60	0
325	0	לישון בסוכה?	הגדרה		60	0
325	0	פסח, סוכות, עניים	טעם	הזדהות עם העניים	60	0
332	0	שנת היובל הבאה?	הגדרה		60	0
340	0	חלוקת קרקעות?	הגדרה		60	0
343	0	בנין אב	הגדרה	ריבית = תשלום תמורת המתנת מעות	60	0
343	0	הלואה בריבית = שיעבוד	טעם		60	0
343	0	משום ריבית	הגדרה		60	0
343	0	ריבית 0	טעם		60	0
364	0	סיכום להלכות התשובה	הגדרה		60	0
386	0	מקווה לעיניים	טעם		60	0
386	0	ציצית - אז והיום	הגדרה	מהי הציצית?	60	0
400	0	דיני ירושה משפט עברי	הגדרה		60	0
412	0	ענישת הרוצח משפט עברי	הגדרה		60	0
418	0	ברכות אל ה'?	הגדרה	ברכות (?)	60	0
