av	bn	sdr_bn	sdr_av	sug	kotrt	ktovt	m	l
0	0	0	0	אוסף_ראשי	אתר העיון בתנך	index.html		
0	ספרי התנך	111	0	כלל_ספר	ספרי התנ"ך, פרקיהם, פסוקיהם, ומאמרים שמסבירים עליהם	prqim/t0.htm		
0	אזורים תנכיים	111	0	אזור	אזורים גיאוגרפיים בתנ"ך, ממויינים לפי סוג	ezor/index.html		
0	דמויות תנכיות	111	0	דמות	דמויות בתנ"ך	dmut/index.html		
0	לשון המקרא	111	0	שורש	שורשים, מילים ועצמים בלשון המקרא, ממויינים לפי סוג	ljon/index.html		
דמויות תנכיות	כל הדמויות	111	0	מאמר	כל הדמויות (האנושיות) מכל התנך פרט לעזרא-נחמיה-דברי הימים	dmut/ToknLfiDmutHkl.html		
דמויות תנכיות	דמות - גבר	111	0	מאמר	גברים	dmut/ToknLfiDmutGvr.html		
דמויות תנכיות	דמות - אשה	111	0	מאמר	נשים	dmut/ToknLfiDmutIja.html		
דמויות תנכיות	דמות - עם	111	0	מאמר	עמים	dmut/ToknLfiDmutAm.html		
דמויות תנכיות	דמות - קבוצה	111	0	מאמר	קבוצות כלליות	dmut/ToknLfiDmutQvuca.html		
