"av","bn","sug","kotrt","sdr_bn","sdr_av","tarik_hosfa"
"0","0",,"השורש של הנושאים המוצגים בעמוד הראשי",0,0,
"0","אודות",,"אודות ""האתר למקוריות במצוות""",1,0,
"0","מצוות לפי אירוע",,"ארועים, שכאשר הם קורים יש לקיים מצוה",10,0,
"0","מצוות לפי חייב",,"אנשים שמחוייבים במצוות",60,0,14/07/2004 10:00:24
"0","מצוות לפי יד חזקה",,"מצוות מסודרות לפי ספר הי""ד החזקה",20,0,
"0","מצוות לפי ספר החינוך",,"מצוות מסודרות לפי הופעתן בתורה",15,0,
"0","מצוות לפי עצם",,"אנשים וחפצים, שמצוות תלויות בהם",12,0,
"0","מצוות לפי רעיון",,"רעיונות וערכים שמשותפים לכמה מצוות",30,0,19/07/2004 13:06:43
"0","מצוות לפי רצון",,"פעולות, שכשרוצים לעשותן יש לקיים מצוה",11,0,
"0","מקורות ללימוד המצוות",,"מקורות וכללים שמהם לומדים איך לקיים מצוות",5,0,
"3 רגלים","חגיגת חג","מזמן","שלמי חגיגה",0,0,
"3 רגלים","משמרות בחגים","מזמן",,20,0,16/07/2004 16:31:32
"3 רגלים","מתנות הלוי","מזמן",,10,0,16/07/2004 16:31:34
"3 רגלים","קיום נדרים בחגים","מזמן",,30,0,18/07/2004 13:43:33
"3 רגלים","ראיית חג","מזמן","עולת ראיה",0,0,16/07/2004 16:31:34
"3 רגלים","שות חול המועד",,,60,0,
"3 רגלים","שות יום טוב",,,60,0,
"3 רגלים","שמחת חג","מזמן","שלמי שמחה",0,0,16/07/2004 16:31:34
"3 רגלים","שמחת חג לבודדים",,"לעזור לבודדים ולנזקקים לעלות לרגל בשמחה",0,0,
"3 שנים","וידוי מעשר שני","מזמן",,0,0,16/07/2004 16:31:34
"3 שנים","מעשר עני","מזמן",,0,0,16/07/2004 16:31:34
"50 שנה","ספירת 7 שבתות שנים","מערך",,65,110,16/07/2004 16:36:33
"50 שנה","קידוש היובל","מזמן",,0,0,16/07/2004 16:31:34
"50 שנה","שביתת אדמות ביובל","מעצם","שביתת אדמות",0,0,16/07/2004 16:31:34
"50 שנה","שופר ביובל","מזמן","תקיעה בשופר",0,0,16/07/2004 16:31:34
"50 שנה","שחרור קרקעות ביובל","מעצם","שחרור קרקעות",0,0,16/07/2004 16:31:34
"50 שנה","שמיטת היבול ביובל","מעצם","שמיטת היבול",0,0,16/07/2004 16:31:34
"7 שנים","אתר השביעית",,,60,0,
"7 שנים","הלואה לפני השמיטה","מזמן","הלואה",0,0,16/07/2004 16:31:34
"7 שנים","הקהל","מזמן",,0,0,16/07/2004 16:31:34
"7 שנים","משמעות השביעית",,,60,0,
"7 שנים","שביתת אדמות בשביעית","מזמן","שביתת אדמות",0,0,16/07/2004 16:31:34
"7 שנים","שות שמיטה",,,60,0,
"7 שנים","שמיטת היבול בשביעית","מזמן","שמיטת היבול",0,0,16/07/2004 16:31:34
"7 שנים","שמיטת חובות בשביעית","מזמן","שמיטת חובות",0,0,16/07/2004 16:31:34
"אבידה","איפה הכלב?","דרך",,65,0,
"אבידה","השבת אבידה למשטרה","דרך",,60,0,
"אבידה","טלמסר מציאות","דרך",,60,0,
"אבידה","לוח מציאות","דרך",,60,0,
"אבלות - אדם מת","אבל על קרובים","מעצם",,0,0,18/07/2004 13:22:50
"אבלות - אדם מת","מעשר שני בשמחה","מעצם",,0,0,18/07/2004 13:19:32
"אבלות - אדם מת","קרחה על מת","מאדם",,0,0,18/07/2004 13:19:14
"אדם מישראל","אהבת אזרח","מאדם",,10,0,12/07/2004 9:28:55
"אדם מישראל","ביוש","מאדם",,20,0,12/07/2004 9:28:55
"אדם מישראל","גניבת נפש","מאדם",,35,0,12/07/2004 9:28:55
"אדם מישראל","הטעיית אזרח","מאדם",,20,0,12/07/2004 9:28:55
"אדם מישראל","הערכת אדם","מאדם",,45,0,12/07/2004 9:28:55
"אדם מישראל","הצלת אנשים בסכנה","מאדם",,40,0,12/07/2004 9:28:55
"אדם מישראל","נקמה","מאדם",,10,0,12/07/2004 9:28:55
"אדם מישראל","ציעור אזרח","מאדם",,20,0,12/07/2004 9:28:55
"אדם מישראל","קללת אדם","מאדם",,20,0,12/07/2004 9:28:55
"אדם מישראל","רכוש הזולת","מערך",,65,110,13/07/2004 21:22:33
"אדם מישראל","רכילות","מאדם",,20,0,12/07/2004 9:28:55
"אדם מישראל","רצח","מאדם",,40,0,12/07/2004 9:28:55
"אדם מת","אבלות - אדם מת","מעצם",,10,0,12/07/2004 9:28:55
"אדם מת","טומאה - אדם מת","מעצם",,20,0,12/07/2004 9:28:55
"אדם מת","כשפי מוות","מעצם",,0,0,
"אדם מת","קבורה","מעצם",,10,0,12/07/2004 9:28:55
"אדמה חקלאית","אדמה חקלאית - אכילה","מרצון","אכילה או שימוש ביבול",30,0,16/07/2004 11:43:05
"אדמה חקלאית","אדמה חקלאית - זריעה","מרצון","זריעה",10,0,16/07/2004 11:33:02
"אדמה חקלאית","אדמה חקלאית - קצירה","מרצון","קצירה",20,0,16/07/2004 11:33:02
"אדמה חקלאית","השחתת עצים","מעצם",,0,0,12/07/2004 9:28:55
"אדמה חקלאית","מכון התורה והארץ",,,60,0,
"אדמה חקלאית","שות מצוות הארץ",,,60,0,
"אדמה חקלאית","תרומה","מערך",,60,110,16/07/2004 13:14:20
"אדמה חקלאית - אכילה","אכילה מתבואה חדשה","מעצם","חדש = תבואה שצמחה לפני שהקריבו את העומר בט""ז בניסן",5,0,
"אדמה חקלאית - אכילה","אכילת טבל","מעצם","טבל = תבואה שעדיין לא הפרישו ממנה תרומות ומעשרות",5,0,
"אדמה חקלאית - אכילה","אכילת כלאי הכרם","מעצם","כלאי הכרם = זרעים שנזרעו בכרם",40,0,
"אדמה חקלאית - אכילה","הבאת ביכורים","מעצם",,20,0,12/07/2004 9:28:55
"אדמה חקלאית - אכילה","מעשר עני","מעצם",,13,0,12/07/2004 9:28:55
"אדמה חקלאית - אכילה","מעשר ראשון","מעצם",,11,0,12/07/2004 9:28:55
"אדמה חקלאית - אכילה","מעשר שני","מעצם",,13,0,
"אדמה חקלאית - אכילה","נטע רבעי","מעצם",,31,0,16/07/2004 15:24:20
"אדמה חקלאית - אכילה","סדר הפרשת תרומות ומעשרות","מעצם",,19,0,12/07/2004 9:28:55
"אדמה חקלאית - אכילה","ערלה","מעצם",,30,0,16/07/2004 15:24:20
"אדמה חקלאית - אכילה","פרי הגפן - אכילה","מעצם",,45,0,
"אדמה חקלאית - אכילה","תרומה גדולה","מעצם",,10,0,12/07/2004 9:28:55
"אדמה חקלאית - אכילה","תרומת מעשר","מעצם",,12,0,12/07/2004 9:28:55
"אדמה חקלאית - זריעה","אשרה","מעצם","אשרה = עץ במקדש",0,0,
"אדמה חקלאית - זריעה","זריעת כלאים בכרם","מעצם","כלאי הכרם = זרעים של תבואה בכרם של ענבים",0,0,
