"av","kotrt","sdr_bn","sug","ktovt","m","l"
"אלילות","פניה לאנשים מתים",60,"דרך","../tokxot/sgulot/mtim.html",,
"אלילות","פניה לחפצים דוממים (קמיעות וחמסות)",60,"דרך","../tokxot/sgulot/qmeot.html",,
"אלילות","פניה ל""מקובלים"" מזוייפים",60,"דרך","../tokxot/sgulot/mqublim.html",,
"עסקים כשרים","לא להשתתף ב""הזדמנויות עסקיות"" - שמבטיחות כסף קל על-חשבון תמימותם של אחרים",60,"דרך","../tokxot/emt/mlm.html",,
"עסקים כשרים","לכתוב מחאות ותלונות על סוחרים ונותני-שירותים שפוגעים בצרכנים",60,"דרך","../tokxot/1800/crknut.html",,
"חיי נישואין","להתחתן בלי לגור ביחד - פתרון ביניים",60,"דרך","../tokxot/xtuna/mgurim.html",,
"חיי נישואין","מצוות פריה ורביה, ושימוש באמצעי מניעה",60,"דרך","../tokxot/yldim/pru_wrvu.html",,
"חיי נישואין","ריבוי נשים",60,"דרך","../tokxot/xtuna/ribuy.html",,
"שמירה על החיים","למנוע אלימות",60,"דרך","../tokxot/xyim/alimut.html",,
"טהרת האישה","טבילה - בלי לעמוד בעירום לפני הבלנית",60,"דרך","../tokxot/thra/tvila_prtit0.html",,
"טהרת האישה","טהרה - לא לנשואות בלבד",60,"דרך","../tokxot/thra/tvilt_rwqot0.html",,
"עסקים כשרים","לא להעביר הודעות דואל שמבטיחות כסף קל",60,"דרך","../tokxot/http://www.breakthechain.org/sn.html","BreakTheChain.org",
"פער כלכלי חברתי","צדקה באקראי - לקט, שכחה ופאה",60,"דרך","../tokxot/klkla/aqrayut.html",,
"פער כלכלי חברתי","צמצום פערים כלכליים ע""י הקטנת הניידות",60,"דרך","../tokxot/klkla/nydut1.html",,
"פער כלכלי חברתי","צמצום פערים כלכליים ע""י הגדלת הניידות",60,"דרך","../tokxot/klkla/nydut2.html",,
"פער כלכלי חברתי","תחבורה ציבורית חינם",60,"דרך","../tokxot/klklt_txbura/xinm.html",,
"ניהול הצבא","לשנות את חוקי הגיוס לצה""ל",60,"דרך","../tokxot/xrut/gyus.html",,
"טהרת האישה","ריחוק בין איש לנידה - רק 7 ימים בחודש",60,"דרך","../tokxot/thra/7nqyim0.html",,
"טהרת האישה","טבילה בטבע",60,"דרך","../tokxot/thra/tvila_btva.html",,
"טקס החתונה","חתונה מינימלית - המינימום שחייב להיות בחתונה כדי שהיא תהיה כשרה",60,"דרך","../tokxot/xtuna/minimum.html",,
"טקס החתונה","חתונות בימי התנך ובימינו",60,"דרך","../tokxot/../nxtboard/messages/1885.html","אראל ויעל","אתר דיונים"
"טקס החתונה","נישואין בסתר",60,"דרך","../tokxot/xtuna/str.html",,
"ממשל ומנהיגות","מערכת תקלות עבור המדינה ו/או המפלגה",60,"דרך","../tokxot/ezrxut/tqlot.html","אראל סגל","ח""כים"
"ממשל ומנהיגות","המדינה לא צריכה לעשות הכל",60,"דרך","../tokxot/kfya1/mdina.html",,
"ממשל ומנהיגות","תנועות לתיקון מדינת ישראל ברוח התורה",60,"דרך","../tokxot/1800/atrim.html",,
"ממשל ומנהיגות","שחיתות במערכות השלטון במדינה",60,"דרך","../tokxot/ezrxut/jxitut.html",,
"ממשל ומנהיגות","מערכת המשפט במדינת ישראל",60,"דרך","../tokxot/ezrxut/mjpt.html",,
"ממשל ומנהיגות","אזרחות במדינה וזכויות שמקנה האזרחות",60,"דרך","../tokxot/ezrxut/ezrxut.html",,
"ממשל ומנהיגות","המפלגות והבחירות לכנסת",60,"דרך","../tokxot/ezrxut/knst.html",,
"ממשל ומנהיגות","מנהיגות ומנהיגים",60,"דרך","../tokxot/px/mnhigut.html",,
"מצה וחמץ","שאור לא יימצא בבתיכם - פעילות התנדבותית משותפת לפנויים ופנויות (1)",60,"דרך","../tokxot/xmc/hamezp2.html","יעל, אראל","פנויים ופנויות"
"מצה וחמץ","שאור לא יימצא בבתיכם - פעילות התנדבותית משותפת לפנויים ופנויות (2)",60,"דרך","../tokxot/xmc/hamezp.html","יעל, אראל","פנויים ופנויות"
"מצה וחמץ","תרומת החמץ לגויים עניים",60,"דרך","../tokxot/xmc/xmc.html",,
"היחס לאויבים","להילחם על-פי חוקי התורה",60,"דרך","../tokxot/jlom/tora.html",,
"אמת ושקר","הפקרת חייהם של חיילי צד""ל",60,"דרך","../tokxot/cdl/index.html",,
"פער כלכלי חברתי","פרוייקט הל""ב במשפט - סיוע משפטי בחינם לנזקקים",60,"דרך","../tokxot/http://halev.org.il/",,
"שלום ומלחמה","לחשוב שנתיים קדימה - חוקים למניעת מלחמה",60,"דרך","../tokxot/jlom/xuqim.html",,"ח""כים ושרים"
"שמיטת חובות","ביעור חובות - מנהג חדש לסוף השנה השביעית",60,"דרך","../tokxot/jmita/xovot_mnhg.html","אראל",
"פער כלכלי חברתי","תרומת מזון בקליק אחד",60,"דרך","../tokxot/http://thehungersite.com","האו""ם","האתר העולמי למאבק ברעב"
"פער כלכלי חברתי","מידע על פערים כלכליים וחברתיים בישראל",60,"דרך","../tokxot/http://adva.org/ivrit/pearim.html","אתר אדוה",
"שמירה על החיים","למנוע תאונות דרכים",60,"דרך","../tokxot/txbura/teunot.html",,
"עונש מוות","ללמוד על עונש מוות לרוצחים",60,"דרך","../tokxot/onj_mwt/index.html",,
