"av","bn","sug","kotrt","sdr_bn","sdr_av"
4,"חודש האביב?","הגדרה","מהו ""חודש האביב""?",60,0
24,"אל יצא איש ממקומו ביום השביעי","הגדרה",,60,0
34,"""רצח"" - ההגדרה המדוייקת","הגדרה","רצח = מכה בכלי ממית, דחיפה, השלכת כלי, הכאה בידיים",60,0
49,"עין תחת עין","הגדרה","""עין תחת עין"" - בימי התנ""ך, בימי התלמוד ובימינו",60,0
61,"מין ואחריות","טעם",,60,0
63,"גר - תושב","הגדרה",,60,0
64,"גר - תושב","הגדרה",,60,0
66,"הלוואה בלי ריבית לגרים ולתושבים","הגדרה",,60,0
68,"הלואה בריבית - שכירות - עבדות","טעם","הלואה בריבית = עבדות",60,0
73,"טרפה ונבלה","טעם",,60,0
92,"כלאים, בשר בחלב","טעם",,60,0
98,"מדוע היו גביעים במנורה?","טעם",,60,0
99,"החובה למשמש בציץ הזהב","הגדרה",,60,0
113,"כלאים, בשר בחלב","טעם",,60,0
115,"סמיכה - ביד אחת או בשתי ידיים?","הגדרה",,60,0
117,"שׂאור ודבש","טעם","שׂאור ודבש - טעם האיסור",60,0
141,"סמיכה - ביד אחת או בשתי ידיים?","הגדרה",,60,0
153,"בהמות וחיות טהורות וטמאות","טעם",,60,0
154,"בהמות וחיות טהורות וטמאות","טעם",,60,0
177,"התורה מקלה על בני-ישראל ומלמדת אותם מה לעשות כדי שכליהם לא ייטמאו","טעם",,60,0
185,"השימוש בגורל ביהדות","טעם",,60,0
187,"דם בהמה לעומת דם חיה ועוף","טעם",,60,0
241,"נקמה - מה אסור ומה מותר?","טעם","מדוע לנו אסור לנקום אם ה' נוקם?",60,0
244,"כלאים, בשר בחלב","טעם",,60,0
245,"כלאים, בשר בחלב","טעם",,60,0
302,"ממחרת השבת","הגדרה",,60,0
324,"למה חג הסוכות נזכר פעמיים?","טעם",,60,0
325,"למה חג הסוכות נזכר פעמיים?","טעם",,60,0
331,"שופר ויום דין?!","טעם",,60,0
343,"הלואה בריבית - שכירות - עבדות","טעם","הלואה בריבית = עבדות",60,0
343,"הלוואה בלי ריבית לגרים ולתושבים","הגדרה",,60,0
344,"האם מותר להעביד גויים בפרך?","הגדרה",,60,0
345,"האם מותר להעביד גויים בפרך?","הגדרה",,60,0
346,"האם מותר להעביד גויים בפרך?","הגדרה",,60,0
350,"ערך האיש וערך האישה","טעם",,60,0
386,"החיים במצוות","טעם",,60,0
408,"השימוש בגורל ביהדות","טעם",,60,0
424,"לא לנסות את ה'","הגדרה","לא לנסות את ה' - מה אסור ומה מותר",60,0
431,"גר - תושב","הגדרה",,60,0
470,"עופות טהורים וטמאים","טעם",,60,0
472,"טרפה ונבלה","טעם",,60,0
479,"הלוואה בלי ריבית לגרים ולתושבים","הגדרה",,60,0
480,"מדוע קשה להלוות לפני שנת השמיטה?","הגדרה",,60,0
515,"דורש אל המתים - תורה שבכתב ותורה שבע""פ","הגדרה",,60,0
526,"פטור משירות קרבי","טעם",,60,0
532,"זכויות השבויה","הגדרה",,60,0
533,"זכויות השבויה","טעם",,60,0
534,"זכויות השבויה","טעם",,60,0
542,"החיים במצוות","טעם",,60,0
543,"החיים במצוות","טעם",,60,0
548,"כלאים, בשר בחלב","טעם",,60,0
549,"כלאים, בשר בחלב","טעם",,60,0
551,"כלאים, בשר בחלב","טעם",,60,0
553,"מין ואחריות","טעם",,60,0
554,"מין ואחריות","טעם",,60,0
557,"עונשם של אנסים בתורה","טעם","מדוע ציוותה התורה שהאנס יישא את הנאנסת?",60,0
558,"עונשם של אנסים בתורה","טעם","מדוע ציוותה התורה שהאנס יישא את הנאנסת?",60,0
561,"מה בדיוק עשו לנו עמי עבר הירדן המזרחי?","טעם",,60,0
562,"מה בדיוק עשו לנו עמי עבר הירדן המזרחי?","טעם",,60,0
568,"האם דין ""גר תושב"" נוהג בימינו?","הגדרה",,60,0
568,"האם מותר להעביד גויים בפרך?","הגדרה",,60,0
570,"אל תחלל את בתך להזנותה, ולא תזנה הארץ","טעם",,60,0
570,"מהי קְדֵשָה ומהו קָדֵש?","הגדרה",,60,0
571,"אתנן זונה ומחיר כלב","טעם",,60,0
571,"זנה - שתי משמעויות","הגדרה",,60,0
572,"הלואה בריבית - שכירות - עבדות","טעם","הלואה בריבית = עבדות",60,0
573,"הלוואה בלי ריבית לגרים ולתושבים","הגדרה",,60,0
589,"""זכור את אשר עשה לך עמלק"" לעומת ""ובנים לא יומתו על אבות""","טעם",,60,0
590,"גר - תושב","הגדרה",,60,0
598,"מגילת רות","טעם","הטעם העמוק למצוות הייבום - על-פי מגילת רות",60,0
603,"""זכור את אשר עשה לך עמלק"" לעומת ""ובנים לא יומתו על אבות""","טעם",,60,0
604,"על מי מוטלת האחריות למחות את זכר עמלק?","הגדרה",,60,0
605,"""זכור את אשר עשה לך עמלק"" לעומת ""ובנים לא יומתו על אבות""","טעם",,60,0
611,"ללכת בדרכי ה'","הגדרה",,60,0
